Category: All categories

Week,coronavirus: (Maryland)
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,<1
2020-01-12,<1
2020-01-19,4
2020-01-26,13
2020-02-02,7
2020-02-09,5
2020-02-16,4
2020-02-23,16
2020-03-01,35
2020-03-08,76
2020-03-15,100
2020-03-22,75
2020-03-29,63
2020-04-05,62
2020-04-12,51
2020-04-19,40
2020-04-26,26
2020-05-03,23
2020-05-10,21
2020-05-17,17
2020-05-24,14
2020-05-31,10
2020-06-07,11
2020-06-14,10
2020-06-21,11
2020-06-28,13
2020-07-05,13
2020-07-12,12
2020-07-19,11
2020-07-26,10
2020-08-02,8
2020-08-09,7
2020-08-16,6
2020-08-23,5
2020-08-30,5
2020-09-06,5
2020-09-13,4
2020-09-20,4
2020-09-27,5
2020-10-04,4
2020-10-11,4
2020-10-18,4
2020-10-25,5
2020-11-01,4
2020-11-08,7
2020-11-15,8
2020-11-22,6
2020-11-29,5
