Category: All categories

Week,coronavirus: (New York)
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,5
2020-01-26,14
2020-02-02,10
2020-02-09,6
2020-02-16,4
2020-02-23,20
2020-03-01,44
2020-03-08,84
2020-03-15,100
2020-03-22,77
2020-03-29,58
2020-04-05,58
2020-04-12,46
2020-04-19,39
2020-04-26,21
2020-05-03,18
2020-05-10,18
2020-05-17,15
2020-05-24,13
2020-05-31,9
2020-06-07,9
2020-06-14,9
2020-06-21,10
2020-06-28,11
2020-07-05,10
2020-07-12,10
2020-07-19,8
2020-07-26,8
2020-08-02,6
2020-08-09,6
2020-08-16,5
2020-08-23,4
2020-08-30,4
2020-09-06,4
2020-09-13,4
2020-09-20,4
2020-09-27,5
2020-10-04,5
2020-10-11,4
2020-10-18,4
2020-10-25,4
2020-11-01,3
2020-11-08,5
2020-11-15,6
2020-11-22,5
2020-11-29,4
