Week,coronavirus
2019-12-08,11
2019-12-15,11
2019-12-22,11
2019-12-29,11
2020-01-05,11
2020-01-12,11
2020-01-19,7
2020-01-26,12
2020-02-02,8
2020-02-09,7
2020-02-16,5
2020-02-23,16
2020-03-01,31
2020-03-08,72
2020-03-15,100
2020-03-22,75
2020-03-29,60
2020-04-05,63
2020-04-12,49
2020-04-19,38
2020-04-26,20
2020-05-03,18
2020-05-10,16
2020-05-17,13
2020-05-24,10
2020-05-31,8
2020-06-07,9
2020-06-14,11
2020-06-21,15
2020-06-28,16
2020-07-05,14
2020-07-12,13
2020-07-19,9
2020-07-26,8
2020-08-02,7
2020-08-09,6
2020-08-16,5
2020-08-23,4
2020-08-30,4
2020-09-06,4
2020-09-13,3
2020-09-20,3
2020-09-27,4
2020-10-04,3
2020-10-11,3
2020-10-18,3
2020-10-25,3
2020-11-01,3
2020-11-08,4
2020-11-15,4
2020-11-22,3
2020-11-29,3
