Week,coronavirus
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,5
2020-01-26,13
2020-02-02,7
2020-02-09,6
2020-02-16,4
2020-02-23,16
2020-03-01,32
2020-03-08,76
2020-03-15,100
2020-03-22,75
2020-03-29,61
2020-04-05,61
2020-04-12,48
2020-04-19,38
2020-04-26,22
2020-05-03,19
2020-05-10,17
2020-05-17,14
2020-05-24,12
2020-05-31,9
2020-06-07,9
2020-06-14,10
2020-06-21,12
2020-06-28,14
2020-07-05,13
2020-07-12,13
2020-07-19,10
2020-07-26,9
2020-08-02,7
2020-08-09,6
2020-08-16,5
2020-08-23,5
2020-08-30,5
2020-09-06,4
2020-09-13,4
2020-09-20,4
2020-09-27,5
2020-10-04,4
2020-10-11,4
2020-10-18,4
2020-10-25,5
2020-11-01,4
2020-11-08,5
2020-11-15,6
2020-11-22,5
2020-11-29,4
