Category: All categories

Week,covid: (California)
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,3
2020-03-01,8
2020-03-08,31
2020-03-15,80
2020-03-22,89
2020-03-29,93
2020-04-05,85
2020-04-12,70
2020-04-19,64
2020-04-26,60
2020-05-03,56
2020-05-10,57
2020-05-17,53
2020-05-24,51
2020-05-31,40
2020-06-07,47
2020-06-14,54
2020-06-21,73
2020-06-28,90
2020-07-05,86
2020-07-12,91
2020-07-19,74
2020-07-26,71
2020-08-02,62
2020-08-09,53
2020-08-16,44
2020-08-23,42
2020-08-30,44
2020-09-06,38
2020-09-13,38
2020-09-20,39
2020-09-27,54
2020-10-04,53
2020-10-11,43
2020-10-18,45
2020-10-25,50
2020-11-01,37
2020-11-08,67
2020-11-15,100
2020-11-22,84
2020-11-29,97
