Week,covid
2019-12-08,11
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,11
2020-01-26,0
2020-02-02,0
2020-02-09,11
2020-02-16,11
2020-02-23,2
2020-03-01,5
2020-03-08,22
2020-03-15,67
2020-03-22,84
2020-03-29,89
2020-04-05,79
2020-04-12,63
2020-04-19,55
2020-04-26,51
2020-05-03,48
2020-05-10,48
2020-05-17,45
2020-05-24,38
2020-05-31,33
2020-06-07,38
2020-06-14,61
2020-06-21,95
2020-06-28,99
2020-07-05,97
2020-07-12,100
2020-07-19,79
2020-07-26,68
2020-08-02,59
2020-08-09,54
2020-08-16,47
2020-08-23,41
2020-08-30,43
2020-09-06,39
2020-09-13,37
2020-09-20,38
2020-09-27,47
2020-10-04,47
2020-10-11,43
2020-10-18,43
2020-10-25,48
2020-11-01,38
2020-11-08,56
2020-11-15,75
2020-11-22,65
2020-11-29,61
