Category: All categories

Week,covid: (New York)
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,2
2020-03-01,7
2020-03-08,28
2020-03-15,64
2020-03-22,78
2020-03-29,84
2020-04-05,75
2020-04-12,62
2020-04-19,61
2020-04-26,55
2020-05-03,51
2020-05-10,54
2020-05-17,51
2020-05-24,44
2020-05-31,33
2020-06-07,36
2020-06-14,40
2020-06-21,50
2020-06-28,55
2020-07-05,55
2020-07-12,62
2020-07-19,57
2020-07-26,58
2020-08-02,50
2020-08-09,47
2020-08-16,46
2020-08-23,43
2020-08-30,46
2020-09-06,42
2020-09-13,44
2020-09-20,43
2020-09-27,60
2020-10-04,63
2020-10-11,46
2020-10-18,49
2020-10-25,53
2020-11-01,43
2020-11-08,80
2020-11-15,100
2020-11-22,82
2020-11-29,79
