Category: All categories

Week,covid: (Texas)
2019-12-08,<1
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,5
2020-03-08,24
2020-03-15,65
2020-03-22,81
2020-03-29,83
2020-04-05,72
2020-04-12,55
2020-04-19,49
2020-04-26,48
2020-05-03,45
2020-05-10,43
2020-05-17,42
2020-05-24,37
2020-05-31,33
2020-06-07,42
2020-06-14,65
2020-06-21,98
2020-06-28,100
2020-07-05,93
2020-07-12,86
2020-07-19,65
2020-07-26,60
2020-08-02,51
2020-08-09,46
2020-08-16,40
2020-08-23,34
2020-08-30,36
2020-09-06,32
2020-09-13,31
2020-09-20,32
2020-09-27,41
2020-10-04,42
2020-10-11,38
2020-10-18,41
2020-10-25,44
2020-11-01,36
2020-11-08,60
2020-11-15,75
2020-11-22,59
2020-11-29,58
