Week,covid
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,1
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,2
2020-03-01,7
2020-03-08,29
2020-03-15,78
2020-03-22,93
2020-03-29,95
2020-04-05,84
2020-04-12,67
2020-04-19,62
2020-04-26,57
2020-05-03,54
2020-05-10,54
2020-05-17,50
2020-05-24,46
2020-05-31,38
2020-06-07,42
2020-06-14,52
2020-06-21,69
2020-06-28,77
2020-07-05,78
2020-07-12,83
2020-07-19,70
2020-07-26,71
2020-08-02,63
2020-08-09,56
2020-08-16,50
2020-08-23,45
2020-08-30,47
2020-09-06,41
2020-09-13,40
2020-09-20,42
2020-09-27,53
2020-10-04,55
2020-10-11,48
2020-10-18,51
2020-10-25,57
2020-11-01,48
2020-11-08,81
2020-11-15,100
2020-11-22,79
2020-11-29,75
