Week,covid19
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,1
2020-02-23,5
2020-03-01,12
2020-03-08,44
2020-03-15,92
2020-03-22,98
2020-03-29,97
2020-04-05,79
2020-04-12,60
2020-04-19,50
2020-04-26,44
2020-05-03,44
2020-05-10,42
2020-05-17,36
2020-05-24,31
2020-05-31,28
2020-06-07,36
2020-06-14,42
2020-06-21,47
2020-06-28,45
2020-07-05,43
2020-07-12,45
2020-07-19,42
2020-07-26,37
2020-08-02,100
2020-08-09,30
2020-08-16,26
2020-08-23,22
2020-08-30,23
2020-09-06,21
2020-09-13,20
2020-09-20,20
2020-09-27,22
2020-10-04,18
2020-10-11,18
2020-10-18,18
2020-10-25,20
2020-11-01,15
2020-11-08,24
2020-11-15,28
2020-11-22,21
2020-11-29,22
