Week,Lockdown
2019-12-08,1
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,1
2020-03-08,11
2020-03-15,100
2020-03-22,26
2020-03-29,14
2020-04-05,12
2020-04-12,12
2020-04-19,11
2020-04-26,13
2020-05-03,9
2020-05-10,12
2020-05-17,8
2020-05-24,5
2020-05-31,7
2020-06-07,3
2020-06-14,3
2020-06-21,5
2020-06-28,6
2020-07-05,4
2020-07-12,9
2020-07-19,3
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,2
2020-09-13,2
2020-09-20,2
2020-09-27,2
2020-10-04,1
2020-10-11,2
2020-10-18,2
2020-10-25,4
2020-11-01,4
2020-11-08,10
2020-11-15,25
2020-11-22,10
2020-11-29,21
