Week,Lockdown
2019-12-08,2
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,1
2020-01-19,2
2020-01-26,1
2020-02-02,1
2020-02-09,2
2020-02-16,1
2020-02-23,2
2020-03-01,3
2020-03-08,15
2020-03-15,100
2020-03-22,88
2020-03-29,72
2020-04-05,24
2020-04-12,19
2020-04-19,19
2020-04-26,19
2020-05-03,17
2020-05-10,21
2020-05-17,15
2020-05-24,11
2020-05-31,9
2020-06-07,5
2020-06-14,3
2020-06-21,5
2020-06-28,7
2020-07-05,6
2020-07-12,6
2020-07-19,5
2020-07-26,5
2020-08-02,2
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,4
2020-09-06,4
2020-09-13,4
2020-09-20,5
2020-09-27,3
2020-10-04,3
2020-10-11,6
2020-10-18,4
2020-10-25,8
2020-11-01,11
2020-11-08,22
2020-11-15,24
2020-11-22,9
2020-11-29,7
