Week,Lockdown
2019-12-08,2
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,2
2020-02-02,1
2020-02-09,1
2020-02-16,2
2020-02-23,2
2020-03-01,1
2020-03-08,9
2020-03-15,66
2020-03-22,100
2020-03-29,25
2020-04-05,13
2020-04-12,13
2020-04-19,10
2020-04-26,10
2020-05-03,7
2020-05-10,9
2020-05-17,7
2020-05-24,4
2020-05-31,5
2020-06-07,4
2020-06-14,6
2020-06-21,6
2020-06-28,6
2020-07-05,6
2020-07-12,13
2020-07-19,4
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,2
2020-08-23,4
2020-08-30,3
2020-09-06,3
2020-09-13,4
2020-09-20,4
2020-09-27,3
2020-10-04,2
2020-10-11,3
2020-10-18,2
2020-10-25,6
2020-11-01,5
2020-11-08,11
2020-11-15,19
2020-11-22,7
2020-11-29,6
