Week,lockdown
2019-12-08,1
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,2
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,2
2020-03-01,2
2020-03-08,14
2020-03-15,100
2020-03-22,83
2020-03-29,36
2020-04-05,18
2020-04-12,17
2020-04-19,16
2020-04-26,16
2020-05-03,12
2020-05-10,15
2020-05-17,11
2020-05-24,8
2020-05-31,8
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,6
2020-07-05,5
2020-07-12,8
2020-07-19,4
2020-07-26,3
2020-08-02,3
2020-08-09,4
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,4
2020-09-20,4
2020-09-27,3
2020-10-04,3
2020-10-11,4
2020-10-18,4
2020-10-25,7
2020-11-01,8
2020-11-08,16
2020-11-15,30
2020-11-22,10
2020-11-29,9
